,restaurant_name,score,rest_url,img_link
11,Hy-Vee Mealtime,5.0,https://www.doordash.com/store/hy-vee-mealtime-madison-940796/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/f434e13e-58fb-48a4-868c-b775644b9008-retina-large-jpeg"
17,Pizza Pit - Madison-West,5.0,https://www.doordash.com/store/pizza-pit---madison-west-madison-1869055/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/e6010157-294c-43a5-8883-2186f0e62582-retina-large.jpeg"
1,Panera Bread,4.9,https://www.doordash.com/store/panera-bread-madison-667809/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/a4d37d78-720f-4a46-9ae3-7368071b1d3e-retina-large-jpeg"
13,Sbarro,4.9,https://www.doordash.com/store/sbarro-madison-525410/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/cdf4aec8-b785-4fc3-8fed-5461612aa97e-3e7a692f-9329-402a-afa6-6b949f285171-retina-large.JPG"
26,Papa Murphy's Take 'N' Bake Pizza,4.8,https://www.doordash.com/store/papa-murphy%27s-take-%27n%27-bake-pizza-monona-2025663/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/3adc0b92-04a7-47f9-8320-3b6fa53c66d1-retina-large.jpg"
2,Toppers Pizza,4.8,https://www.doordash.com/store/toppers-pizza-madison-1062843/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/3d2a3109-99bd-4944-b709-d1d922d0f13f-4a4c2fe5-44e5-4023-8644-c934cefad539-retina-large.JPG"
31,Village Pizza,4.8,https://www.doordash.com/store/village-pizza-madison-895005/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/9668df0c-46bf-4a62-b135-4c73bc52540c-retina-large-jpeg"
29,Catering by Hy-Vee,4.8,https://www.doordash.com/store/catering-by-hy-vee-madison-24362440/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/8ce203a1-1031-4425-8afb-41ec5d74fff8-retina-large.JPG"
21,Wiscow Pizza and Wings,4.7,https://www.doordash.com/store/wiscow-pizza-and-wings-middleton-1945232/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/332242d1-5e54-4fa1-a332-e52e338fefd1-retina-large.jpg"
23,Buster's American Kitchen,4.7,https://www.doordash.com/store/buster%27s-american-kitchen-madison-1226855/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/cbd1f90e-3140-46e1-ab12-25cb83c56edd-7a7e2bd3-813c-46e1-9d9a-1fef20647b62-retina-large.JPG"
20,Roman Candle Pizzeria,4.7,https://www.doordash.com/store/roman-candle-pizzeria-middleton-288900/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/2d839f9f-4b81-4e4f-ae47-db67ca1740f0-retina-large.JPG"
24,Pasqually's Pizza & Wings,4.6,https://www.doordash.com/store/pasqually%27s-pizza-%26-wings-madison-1037406/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/f965cd7f-20ca-4a4d-aea4-fd1c47b521d4-retina-large.jpg"
7,Auntie Anne's,4.6,https://www.doordash.com/store/auntie-anne%27s-madison-294360/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/bbb7582d-298f-4daf-af24-9ba0c6ac0525-retina-large.jpg"
14,Novanta Pizza,4.6,https://www.doordash.com/store/novanta-pizza-madison-23149874/,
30,"LankyBox Kitchen Pizza, Wings and Mac",4.6,https://www.doordash.com/store/lankybox-kitchen-pizza%2C-wings-and-mac-madison-24411539/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/4c8da2d8-242d-4af4-b681-3cecf57b3499-retina-large.jpg"
3,Pizza Brutta,4.6,https://www.doordash.com/store/pizza-brutta-madison-289152/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/78e48b7f-7d2d-47ad-beea-7e72ba146e45-retina-large.png"
32,Tuscany Pasta and Pizza,4.6,https://www.doordash.com/store/tuscany-pasta-and-pizza-fitchburg-289068/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/3f90260b-eace-4aed-b3c8-56384d82cc96-retina-large-jpeg"
5,LUIGI'S,4.4,https://www.doordash.com/store/luigi%27s-madison-1619852/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/ed1e8c6b-c945-4f04-98b7-114728b75184-retina-large.JPG"
19,Tutto Pasta State Street,4.3,https://www.doordash.com/store/tutto-pasta-state-street-madison-289075/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/78da4ca5-473e-4351-9580-e4464a020a91-retina-large.JPG"
16,Benvenuto's,4.3,https://www.doordash.com/store/benvenuto%27s-madison-289001/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/b6c277a0-dec1-49d7-8f73-9f73b66155e4-retina-large.JPG"
8,Pizza Extreme,4.3,https://www.doordash.com/store/pizza-extreme-madison-289182/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/a5384a1e-f1e9-497c-b003-10bd8a46b248-retina-large.jpg"
22,EAT the best pizza,4.2,https://www.doordash.com/store/eat-the-best-pizza-madison-23120774/,
18,lazy oaf lounge,4.1,https://www.doordash.com/store/lazy-oaf-lounge-madison-1354958/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/0bc49bf8-fe43-4e55-bd65-de12422979a0-retina-large.jpg"
12,Bar Corallini,4.1,https://www.doordash.com/store/bar-corallini-madison-829947/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/837bf6d2-108a-4350-9194-d6ff7f547a8c-retina-large.JPG"
10,Lucille,4.1,https://www.doordash.com/store/lucille-madison-288868/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/93ce7df7-0ce6-4d1c-8495-a854ee918c7d-retina-large.jpg"
6,MOD Pizza,4.1,https://www.doordash.com/store/mod-pizza-fitchburg-294387/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/474a3af6-4f4a-49ab-8842-b18b04eae691-retina-large.jpg"
15,Donatos Pizza,4.0,https://www.doordash.com/store/donatos-pizza-monona-23217661/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/31438c3c-a06f-471c-bf6b-dff5ce457043-retina-large.png"
27,Chuck E. Cheese,4.0,https://www.doordash.com/store/chuck-e.-cheese-madison-390284/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/92f01078-a11d-4e90-817f-7b2333344ec1-retina-large.jpg"
0,Papa Johns,4.0,https://www.doordash.com/store/papa-johns-madison-423365/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/017a1c82-8f0c-417f-b7d1-e4ed926a7e94-retina-large.jpg"
25,FREAKING GOOD PIZZA,3.9,https://www.doordash.com/store/freaking-good-pizza-madison-23129989/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photosV2/f9afcef1-5eb4-4258-9db1-5c882554008d-retina-large.jpeg"
4,Little Caesars Pizza,3.8,https://www.doordash.com/store/little-caesars-pizza-madison-23144938/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/25f30231-4828-4f4c-9fbe-8c372fed0269-retina-large-jpeg"
9,Falbo Bros Pizzeria,3.7,https://www.doordash.com/store/falbo-bros-pizzeria-madison-288880/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/32a92d08-3ce6-4e95-aa62-c8c767ab96b6-retina-large-jpeg"
28,Mia Pizza,3.7,https://www.doordash.com/store/mia-pizza-fitchburg-23104676/,"https://img.cdn4dd.com/p/fit=cover,width=200,height=150,format=auto,quality=75/media/photos/ff84b4b6-5c69-4e22-9721-45c0291b2fb8-retina-large-jpeg"
